,shooting,year,month,day,date
0,9,2020,05,26,05-26
1,9,2019,01,28,01-28
2,9,2018,04,01,04-01
3,9,2018,06,29,06-29
4,9,2018,02,01,02-01
5,9,2018,01,06,01-06
6,8,2018,04,05,04-05
7,8,2018,03,23,03-23
8,8,2015,12,14,12-14
9,8,2017,02,10,02-10
10,8,2017,12,26,12-26
11,8,2019,06,06,06-06
12,8,2020,12,28,12-28
13,8,2016,12,21,12-21
14,8,2018,03,12,03-12
15,8,2015,07,07,07-07
16,8,2019,12,10,12-10
17,8,2016,01,27,01-27
18,8,2017,07,04,07-04
19,8,2020,05,03,05-03
20,8,2017,01,24,01-24
21,7,2019,01,14,01-14
22,7,2015,02,28,02-28
23,7,2020,02,25,02-25
24,7,2016,05,26,05-26
25,7,2020,05,09,05-09
26,7,2019,10,25,10-25
27,7,2018,06,14,06-14
28,7,2018,01,12,01-12
29,7,2016,08,16,08-16
30,7,2019,03,27,03-27
31,7,2018,10,10,10-10
32,7,2015,10,24,10-24
33,7,2016,03,13,03-13
34,7,2020,05,29,05-29
35,7,2020,12,10,12-10
36,7,2021,02,04,02-04
37,7,2020,10,23,10-23
38,7,2015,12,21,12-21
39,7,2018,01,22,01-22
40,7,2021,02,11,02-11
41,7,2020,05,01,05-01
42,7,2018,03,05,03-05
43,7,2016,08,18,08-18
44,7,2019,08,05,08-05
45,7,2015,07,16,07-16
46,7,2018,07,26,07-26
47,7,2017,02,03,02-03
48,7,2019,06,27,06-27
49,7,2015,03,11,03-11
50,7,2015,12,12,12-12
51,7,2020,05,27,05-27
52,7,2015,10,15,10-15
53,7,2018,06,23,06-23
54,7,2015,03,27,03-27
55,7,2020,10,20,10-20
56,7,2019,12,12,12-12
57,6,2020,09,18,09-18
58,6,2015,07,09,07-09
59,6,2020,10,16,10-16
60,6,2017,09,22,09-22
61,6,2015,01,14,01-14
62,6,2019,10,23,10-23
63,6,2020,05,05,05-05
64,6,2016,09,30,09-30
65,6,2016,03,24,03-24
66,6,2020,01,05,01-05
67,6,2020,02,26,02-26
68,6,2016,01,16,01-16
69,6,2020,01,23,01-23
70,6,2017,06,02,06-02
71,6,2018,11,21,11-21
72,6,2019,01,16,01-16
73,6,2020,03,16,03-16
74,6,2020,11,17,11-17
75,6,2017,05,09,05-09
76,6,2021,05,23,05-23
77,6,2017,01,01,01-01
78,6,2016,05,09,05-09
79,6,2017,10,01,10-01
80,6,2019,12,31,12-31
81,6,2017,10,08,10-08
82,6,2019,12,19,12-19
83,6,2019,03,09,03-09
84,6,2018,03,06,03-06
85,6,2016,11,06,11-06
86,6,2017,05,15,05-15
87,6,2020,08,07,08-07
88,6,2015,03,19,03-19
89,6,2018,01,17,01-17
90,6,2015,04,15,04-15
91,6,2019,08,31,08-31
92,6,2017,01,07,01-07
93,6,2020,01,02,01-02
94,6,2018,05,07,05-07
95,6,2015,02,23,02-23
96,6,2019,06,15,06-15
97,6,2020,04,24,04-24
98,6,2017,04,20,04-20
99,6,2019,04,14,04-14
100,6,2019,01,03,01-03
101,6,2019,11,19,11-19
102,6,2015,08,07,08-07
103,6,2020,03,14,03-14
104,6,2017,07,05,07-05
105,6,2019,03,05,03-05
106,6,2016,07,27,07-27
107,6,2020,04,07,04-07
108,6,2019,03,14,03-14
109,6,2020,03,13,03-13
110,6,2018,03,28,03-28
111,6,2016,06,22,06-22
112,6,2015,08,12,08-12
113,6,2015,11,17,11-17
114,6,2015,09,21,09-21
115,6,2016,09,20,09-20
116,6,2016,07,28,07-28
117,6,2017,11,04,11-04
118,6,2020,06,27,06-27
119,6,2019,08,01,08-01
120,6,2017,07,27,07-27
121,6,2018,03,02,03-02
122,6,2015,10,30,10-30
123,6,2020,10,14,10-14
124,6,2018,05,14,05-14
125,6,2018,02,21,02-21
126,6,2018,11,12,11-12
127,6,2017,01,18,01-18
128,6,2015,08,05,08-05
129,6,2018,12,11,12-11
130,6,2019,02,07,02-07
131,6,2017,11,10,11-10
132,6,2018,04,04,04-04
133,6,2020,11,13,11-13
134,6,2019,12,01,12-01
135,6,2015,02,04,02-04
136,6,2017,08,04,08-04
137,6,2019,07,31,07-31
138,6,2017,03,29,03-29
139,6,2021,06,16,06-16
140,6,2021,02,06,02-06
141,6,2020,03,08,03-08
142,6,2015,04,29,04-29
143,6,2015,12,02,12-02
144,6,2018,05,11,05-11
145,6,2020,11,04,11-04
146,6,2016,01,05,01-05
147,5,2019,07,05,07-05
148,5,2020,01,06,01-06
149,5,2017,02,21,02-21
150,5,2018,11,27,11-27
151,5,2017,06,08,06-08
152,5,2020,01,21,01-21
153,5,2016,03,27,03-27
154,5,2019,01,23,01-23
155,5,2021,01,10,01-10
156,5,2015,09,04,09-04
157,5,2016,07,11,07-11
158,5,2021,06,07,06-07
159,5,2017,11,15,11-15
160,5,2019,08,03,08-03
161,5,2015,08,23,08-23
162,5,2020,07,14,07-14
163,5,2020,05,19,05-19
164,5,2019,10,30,10-30
165,5,2018,04,12,04-12
166,5,2018,11,15,11-15
167,5,2015,07,17,07-17
168,5,2017,11,17,11-17
169,5,2017,10,05,10-05
170,5,2016,08,19,08-19
171,5,2015,07,12,07-12
172,5,2016,02,04,02-04
173,5,2016,09,17,09-17
174,5,2021,05,18,05-18
175,5,2021,03,31,03-31
